video_id,file_name,error_code,environment,recorded_at,lighting,camera_position,distance_cm,scenario
1,labor_001.mp4,fehlercode_01,labor,2026-06-10T14:45:19,,,,baseline/frontal
2,labor_002.mp4,fehlercode_02,labor,2026-06-10T14:50:30,,,,baseline/frontal
3,labor_003.mp4,fehlercode_03,labor,2026-06-10T14:51:01,,,,baseline/frontal
4,labor_004.mp4,fehlercode_04,labor,2026-06-10T14:51:15,,,,baseline/frontal
5,labor_005.mp4,fehlercode_05,labor,2026-06-10T14:51:55,,,,baseline/frontal
6,labor_006.mp4,fehlercode_06,labor,2026-06-10T14:52:11,,,,baseline/frontal
7,labor_007.mp4,fehlercode_07,labor,2026-06-10T14:52:29,,,,baseline/frontal
8,labor_008.mp4,fehlercode_08,labor,2026-06-10T14:52:48,,,,baseline/frontal
9,labor_009.mp4,fehlercode_09,labor,2026-06-10T14:53:02,,,,baseline/frontal
10,labor_010.mp4,fehlercode_10,labor,2026-06-10T14:53:16,,,,baseline/frontal
11,labor_011.mp4,fehlercode_11,labor,2026-06-10T14:53:32,,,,baseline/frontal
12,labor_012.mp4,fehlercode_12,labor,2026-06-10T14:53:53,,,,baseline/frontal
13,labor_013.mp4,fehlercode_01,labor,2026-06-10T14:54:13,,,,Links
14,labor_014.mp4,fehlercode_02,labor,2026-06-10T14:55:29,,,,Links
15,labor_015.mp4,fehlercode_03,labor,2026-06-10T14:55:45,,,,Links
16,labor_016.mp4,fehlercode_04,labor,2026-06-10T14:56:22,,,,Links
17,labor_017.mp4,fehlercode_05,labor,2026-06-10T14:56:55,,,,Links
18,labor_018.mp4,fehlercode_06,labor,2026-06-10T14:57:13,,,,Links
19,labor_019.mp4,fehlercode_07,labor,2026-06-10T14:57:33,,,,Links
20,labor_020.mp4,fehlercode_08,labor,2026-06-10T14:57:55,,,,Links
21,labor_021.mp4,fehlercode_09,labor,2026-06-10T14:58:12,,,,Links
22,labor_022.mp4,fehlercode_10,labor,2026-06-10T14:58:40,,,,Links
23,labor_023.mp4,fehlercode_11,labor,2026-06-10T14:59:03,,,,Links
24,labor_024.mp4,fehlercode_12,labor,2026-06-10T14:59:23,,,,Links
25,labor_025.mp4,fehlercode_01,labor,2026-06-10T14:59:38,,,,Rechts
26,labor_026.mp4,fehlercode_02,labor,2026-06-10T15:02:36,,,,Rechts
27,labor_027.mp4,fehlercode_03,labor,2026-06-10T15:02:51,,,,Rechts
28,labor_028.mp4,fehlercode_04,labor,2026-06-10T15:03:00,,,,Rechts
29,labor_029.mp4,fehlercode_05,labor,2026-06-10T15:03:10,,,,Rechts
30,labor_030.mp4,fehlercode_06,labor,2026-06-10T15:04:12,,,,Rechts
31,labor_031.mp4,fehlercode_07,labor,2026-06-10T15:04:26,,,,Rechts
32,labor_032.mp4,fehlercode_08,labor,2026-06-10T15:04:37,,,,Rechts
33,labor_033.mp4,fehlercode_09,labor,2026-06-10T15:04:52,,,,Rechts
34,labor_034.mp4,fehlercode_10,labor,2026-06-10T15:05:30,,,,Rechts
35,labor_035.mp4,fehlercode_11,labor,2026-06-10T15:05:43,,,,Rechts
36,labor_036.mp4,fehlercode_12,labor,2026-06-10T15:05:54,,,,Rechts
37,labor_037.mp4,fehlercode_01,labor,2026-06-10T15:06:46,,,,Entfernung
38,labor_038.mp4,fehlercode_02,labor,2026-06-10T15:08:59,,,,Entfernung
39,labor_039.mp4,fehlercode_03,labor,2026-06-10T15:09:08,,,,Entfernung
40,labor_040.mp4,fehlercode_04,labor,2026-06-10T15:09:44,,,,Entfernung
41,labor_041.mp4,fehlercode_05,labor,2026-06-10T15:09:54,,,,Entfernung
42,labor_042.mp4,fehlercode_06,labor,2026-06-10T15:11:33,,,,Entfernung
43,labor_043.mp4,fehlercode_07,labor,2026-06-10T15:12:06,,,,Entfernung
44,labor_044.mp4,fehlercode_08,labor,2026-06-10T15:12:17,,,,Entfernung
45,labor_045.mp4,fehlercode_09,labor,2026-06-10T15:12:41,,,,Entfernung
46,labor_046.mp4,fehlercode_10,labor,2026-06-10T15:12:55,,,,Entfernung
47,labor_047.mp4,fehlercode_11,labor,2026-06-10T15:13:04,,,,Entfernung
48,labor_048.mp4,fehlercode_12,labor,2026-06-10T15:13:22,,,,Entfernung
49,labor_049.mp4,fehlercode_01,labor,2026-06-10T15:13:50,,,,Nähe
